2 B-time
月 I-time
7 I-time
日 I-time
， O
河 B-location
北 I-location
省 I-location
气 O
代 O
煤 O
电 O
代 O
煤 O
工 O
作 O
领 O
导 O
小 O
组 O
办 O
公 O
室 O
、 O
省 O
安 O
委 O
办 O
、 O
省 O
发 O
改 O
委 O
等 O
十 O
部 O
门 O
联 O
合 O
印 O
发 O
《 O
关 O
于 O
切 O
实 O
加 O
强 O
农 O
村 O
涉 O
气 O
第 O
三 O
方 O
施 O
工 O
管 O
理 O
的 O
通 O
知 O
》 O
， O
要 O
求 O
切 O
实 O
加 O
强 O
农 O
村 O
涉 O
气 O
施 O
工 O
安 O
全 O
， O
坚 O
决 O
防 O
止 O
第 O
三 O
方 O
施 O
工 O
破 O
坏 O
造 O
成 O
燃 O
气 O
事 O
故 O
完 O
善 O
相 O
关 O
制 O
度 O
， O
落 O
实 O
会 O
商 O
协 O
调 O
机 O
制 O
建 O
立 O
涉 O
气 O
施 O
工 O
联 O
席 O
会 O
议 O
机 O
制 O
， O
各 O
地 O
燃 O
气 O
主 O
管 O
部 O
门 O
要 O
充 O
分 O
发 O
挥 O
牵 O
头 O
作 O
用 O
， O
组 O
织 O
当 O
地 O
发 O
展 O
改 O
革 O
、 O
水 O
利 O
、 O
农 O
业 O
农 O
村 O
、 O
交 O
通 O
、 O
住 O
房 O
城 O
乡 O
建 O
设 O
等 O
建 O
设 O
项 O
目 O
主 O
管 O
部 O
门 O
以 O
及 O
燃 O
气 O
企 O
业 O
、 O
涉 O
气 O
施 O
工 O
企 O
业 O
， O
建 O
立 O
联 O
席 O
会 O
议 O
机 O
制 O
， O
制 O
定 O
有 O
关 O
制 O
度 O
， O
完 O
善 O
农 O
村 O
地 O
区 O
施 O
工 O
建 O
设 O
程 O
序 O
， O
加 O
强 O
市 O
政 O
路 O
范 O
围 O
外 O
开 O
挖 O
施 O
工 O
等 O
项 O
目 O
的 O
管 O
理 O
和 O
审 O
批 O
， O
补 O
齐 O
管 O
理 O
短 O
板 O
严 O
格 O
执 O
行 O
涉 O
气 O
施 O
工 O
函 O
告 O
制 O
度 O
， O
各 O
地 O
发 O
展 O
改 O
革 O
、 O
水 O
利 O
、 O
农 O
业 O
农 O
村 O
、 O
交 O
通 O
、 O
住 O
房 O
城 O
乡 O
建 O
设 O
等 O
行 O
业 O
管 O
理 O
部 O
门 O
和 O
项 O
目 O
建 O
设 O
单 O
位 O
在 O
涉 O
气 O
项 O
目 O
立 O
项 O
阶 O
段 O
， O
要 O
函 O
告 O
当 O
地 O
燃 O
气 O
主 O
管 O
部 O
门 O
落 O
实 O
燃 O
气 O
管 O
道 O
保 O
护 O
协 O
议 O
制 O
度 O
， O
各 O
地 O
水 O
利 O
、 O
农 O
业 O
农 O
村 O
、 O
交 O
通 O
、 O
住 O
房 O
城 O
乡 O
建 O
设 O
、 O
电 O
力 O
等 O
建 O
设 O
项 O
目 O
主 O
管 O
部 O
门 O
要 O
督 O
促 O
施 O
工 O
单 O
位 O
制 O
定 O
施 O
工 O
方 O
案 O
， O
与 O
燃 O
气 O
企 O
业 O
签 O
订 O
涉 O
燃 O
气 O
管 O
道 O
保 O
护 O
协 O
议 O
， O
共 O
同 O
做 O
好 O
燃 O
气 O
管 O
道 O
保 O
护 O
工 O
作 O
压 O
实 O
各 O
方 O
责 O
任 O
， O
严 O
格 O
施 O
工 O
现 O
场 O
管 O
理 O
设 O
计 O
单 O
位 O
在 O
做 O
施 O
工 O
图 O
纸 O
设 O
计 O
时 O
， O
要 O
最 O
大 O
限 O
度 O
避 O
开 O
地 O
埋 O
燃 O
气 O
管 O
线 O
， O
确 O
需 O
交 O
叉 O
并 O
行 O
的 O
， O
在 O
满 O
足 O
必 O
要 O
安 O
全 O
条 O
件 O
下 O
， O
可 O
对 O
燃 O
气 O
管 O
线 O
局 O
部 O
段 O
落 O
工 O
程 O
加 O
装 O
防 O
护 O
设 O
计 O
， O
切 O
实 O
保 O
障 O
施 O
工 O
地 O
界 O
内 O
燃 O
气 O
设 O
施 O
的 O
安 O
全 O
施 O
工 O
单 O
位 O
要 O
严 O
格 O
按 O
照 O
建 O
设 O
单 O
位 O
提 O
供 O
的 O
设 O
计 O
图 O
纸 O
进 O
行 O
施 O
工 O
， O
严 O
禁 O
擅 O
自 O
变 O
更 O
涉 O
气 O
施 O
工 O
与 O
燃 O
气 O
地 O
埋 O
管 O
道 O
平 O
行 O
或 O
交 O
叉 O
施 O
工 O
的 O
， O
燃 O
气 O
企 O
业 O
必 O
须 O
派 O
人 O
旁 O
站 O
， O
指 O
导 O
施 O
工 O
单 O
位 O
按 O
施 O
工 O
方 O
案 O
施 O
工 O
加 O
强 O
日 O
常 O
监 O
管 O
， O
强 O
化 O
燃 O
气 O
管 O
道 O
保 O
护 O
措 O
施 O
各 O
地 O
要 O
结 O
合 O
燃 O
气 O
专 O
项 O
排 O
查 O
整 O
治 O
， O
抓 O
紧 O
组 O
织 O
开 O
展 O
农 O
村 O
地 O
埋 O
燃 O
气 O
管 O
网 O
普 O
查 O
， O
全 O
面 O
摸 O
清 O
农 O
村 O
燃 O
气 O
地 O
下 O
管 O
网 O
详 O
细 O
信 O
息 O
， O
完 O
善 O
燃 O
