3 B-time
月 I-time
9 I-time
日 I-time
晚 O
上 O
9 O
时 O
左 O
右 O
， O
广 B-location
东 I-location
省 I-location
河 I-location
源 I-location
市 I-location
龙 I-location
川 I-location
县 I-location
田 O
心 O
镇 O
陂 O
角 O
村 O
五 O
队 O
， O
一 O
民 O
房 O
的 O
两 O
个 O
煤 O
气 O
罐 O
突 O
然 O
发 O
生 O
爆 O
炸 O
， O
房 O
内 O
的 O
男 O
子 O
张 O
某 O
当 O
场 O
被 O
炸 O
死 O
目 O
击 O
者 O
介 O
绍 O
， O
民 O
房 O
烧 O
了 O
一 O
个 O
多 O
小 O
时 O
， O
楼 O
板 O
都 O
塌 O
下 O
来 O
了 O
， O
只 O
剩 O
下 O
些 O
“ O
残 O
垣 O
断 O
壁 O
” O
， O
地 O
上 O
满 O
是 O
碎 O
片 O
， O
地 O
上 O
还 O
有 O
斑 O
斑 O
血 O
迹 O
死 O
者 O
张 O
某 O
的 O
下 O
半 O
身 O
被 O
炸 O
飞 O
， O
整 O
个 O
现 O
场 O
一 O
片 O
狼 O
藉 O
河 B-location
源 I-location
龙 I-location
川 I-location
一 O
村 O
民 O
家 O
中 O
发 O
生 O
煤 B-reason
气 I-reason
爆 I-reason
炸 I-reason
房 O
内 O
男 O
子 O
当 O
场 O
被 O
炸 O
死 O
