4 B-time
月 I-time
3 I-time
日 I-time
上 I-time
午 I-time
， O
辽 B-location
宁 I-location
省 I-location
抚 I-location
顺 I-location
市 I-location
望 I-location
花 I-location
区 I-location
辽 I-location
中 I-location
社 I-location
区 I-location
丹 O
东 O
路 O
段 O
5 O
0 O
号 O
楼 O
3 O
单 O
元 O
2 O
0 O
3 O
民 O
宅 O
发 O
生 O
液 B-reason
化 I-reason
气 I-reason
泄 I-reason
漏 I-reason
爆 O
炸 O
， O
造 O
成 O
3 O
人 O
受 O
伤 O
， O
伤 O
员 O
已 O
被 O
送 O
往 O
医 O
院 O
进 O
行 O
救 O
治 O
， O
无 O
生 O
命 O
危 O
险 O
经 O
质 O
监 O
部 O
门 O
现 O
场 O
查 O
验 O
， O
初 O
步 O
分 O
析 O
事 O
故 O
原 O
因 O
为 O
连 O
接 B-reason
软 I-reason
管 I-reason
老 I-reason
化 I-reason
导 O
致 O
液 B-reason
化 I-reason
气 I-reason
泄 I-reason
漏 I-reason
， O
用 O
户 O
用 O
火 O
不 O
当 O
造 O
成 O
网 O
页 O
链 O
接 O
