3 B-time
月 I-time
1 I-time
4 I-time
日 I-time
晚 I-time
， O
湖 B-location
南 I-location
省 I-location
永 I-location
州 I-location
市 I-location
零 I-location
陵 I-location
区 I-location
大 I-location
西 I-location
门 I-location
社 O
区 O
发 O
生 O
一 O
起 O
一 O
家 O
三 O
口 O
煤 B-reason
气 I-reason
中 I-reason
毒 I-reason
事 O
故 O
在 O
邻 O
居 O
的 O
报 O
警 O
下 O
， O
消 O
防 O
官 O
兵 O
和 O
1 O
2 O
0 O
急 O
救 O
医 O
生 O
迅 O
速 O
赶 O
到 O
现 O
场 O
， O
成 O
功 O
将 O
一 O
家 O
三 O
口 O
送 O
往 O
医 O
院 O
进 O
行 O
救 O
治 O
一 O
家 O
三 O
口 O
煤 B-reason
气 I-reason
中 I-reason
毒 I-reason
邻 O
居 O
报 O
警 O
求 O
救 O
