3 B-time
月 I-time
2 I-time
1 I-time
日 I-time
1 I-time
1 I-time
点 I-time
， O
四 B-location
川 I-location
省 I-location
成 I-location
都 I-location
市 I-location
新 I-location
都 I-location
街 I-location
道 I-location
同 I-location
仁 I-location
路 I-location
“ O
我 O
的 O
大 O
学 O
” O
商 O
住 O
小 O
区 O
2 O
栋 O
1 O
单 O
元 O
1 O
楼 O
发 O
生 O
疑 O
似 O
天 B-reason
然 I-reason
气 I-reason
爆 I-reason
炸 I-reason
事 O
故 O
， O
事 O
故 O
造 O
成 O
2 O
人 O
轻 O
伤 O
， O
临 O
近 O
部 O
分 O
住 O
户 O
玻 O
璃 O
受 O
损 O
目 O
前 O
， O
2 O
名 O
轻 O
伤 O
人 O
员 O
已 O
送 O
医 O
院 O
治 O
疗 O
， O
均 O
无 O
生 O
命 O
危 O
险 O
