3 B-time
月 I-time
8 I-time
日 I-time
下 O
午 O
， O
浙 B-location
江 I-location
省 I-location
德 I-location
清 I-location
县 I-location
武 I-location
康 I-location
镇 I-location
曲 I-location
园 I-location
路 I-location
与 O
群 O
益 O
街 O
交 O
叉 O
口 O
一 O
家 O
烟 O
酒 O
商 O
铺 O
发 O
生 O
液 B-reason
化 I-reason
气 I-reason
罐 I-reason
爆 I-reason
炸 I-reason
事 O
故 O
， O
强 O
大 O
的 O
冲 O
击 O
波 O
不 O
但 O
让 O
商 O
铺 O
卷 O
闸 O
门 O
飞 O
离 O
了 O
墙 O
面 O
， O
连 O
隔 O
壁 O
饭 O
店 O
的 O
钢 O
化 O
玻 O
璃 O
墙 O
及 O
二 O
楼 O
房 O
间 O
的 O
玻 O
璃 O
窗 O
全 O
部 O
震 O
碎 O
虽 O
然 O
当 O
时 O
商 O
铺 O
中 O
并 O
无 O
人 O
员 O
在 O
场 O
， O
但 O
一 O
名 O
男 O
子 O
恰 O
巧 O
在 O
爆 O
炸 O
时 O
路 O
过 O
商 O
铺 O
门 O
口 O
， O
并 O
在 O
爆 O
炸 O
中 O
受 O
轻 O
微 O
伤 O
武 O
康 O
烟 O
酒 O
铺 O
发 O
生 O
爆 O
炸 O
原 O
因 O
疑 O
是 O
煤 B-reason
气 I-reason
泄 I-reason
漏 I-reason
