3 B-time
月 I-time
6 I-time
日 I-time
早 I-time
上 I-time
7 I-time
点 I-time
左 I-time
右 I-time
， O
辽 B-location
宁 I-location
省 I-location
沈 I-location
阳 I-location
市 I-location
大 I-location
东 I-location
区 I-location
万 I-location
柳 I-location
塘 I-location
路 I-location
与 I-location
万 I-location
莲 I-location
路 I-location
交 I-location
汇 I-location
口 I-location
， O
一 O
家 O
早 O
餐 O
店 O
的 O
煤 O
气 O
罐 O
突 O
然 O
发 O
生 O
爆 O
炸 O
， O
店 O
内 O
烙 O
饼 O
的 O
女 B-name
子 I-name
被 O
炸 O
伤 O
大 O
东 O
区 O
一 O
早 O
餐 O
店 O
煤 B-reason
气 I-reason
罐 I-reason
发 I-reason
生 I-reason
爆 I-reason
炸 I-reason
一 O
人 O
受 O
伤 O
