2 B-time
月 I-time
6 I-time
日 I-time
晚 I-time
， O
贵 B-location
州 I-location
省 I-location
安 I-location
顺 I-location
市 I-location
西 I-location
秀 I-location
区 I-location
新 O
场 O
乡 O
人 O
周 O
燕 O
在 O
自 O
己 O
家 O
洗 O
澡 O
由 O
于 O
洗 O
澡 O
间 O
温 O
度 O
很 O
低 O
， O
周 B-name
燕 I-name
便 O
在 O
洗 O
澡 O
时 O
端 O
了 O
一 O
盆 O
炭 O
火 O
到 O
洗 O
澡 O
间 O
内 O
意 O
想 O
不 O
到 O
的 O
是 O
， O
炭 O
火 O
产 O
生 O
的 O
一 O
氧 O
化 O
碳 O
导 O
致 O
她 O
中 O
毒 O
后 O
晕 O
倒 O
在 O
炭 O
火 O
盆 O
中 O
半 O
小 O
时 O
后 O
， O
家 O
人 O
察 O
觉 O
到 O
不 O
对 O
劲 O
， O
强 O
行 O
破 O
门 O
进 O
入 O
洗 O
澡 O
间 O
内 O
， O
此 O
时 O
周 B-name
燕 I-name
四 O
肢 O
已 O
被 O
大 O
面 O
积 O
烧 O
伤 O
网 O
页 O
链 O
接 O
