7 B-time
月 I-time
1 I-time
0 I-time
日 I-time
， O
上 B-location
海 I-location
市 I-location
燃 O
气 O
管 O
理 O
处 O
透 O
露 O
， O
由 O
于 O
夏 O
季 O
高 O
温 O
持 O
续 O
时 O
间 O
较 O
长 O
， O
居 O
民 O
普 O
遍 O
使 O
用 O
空 O
调 O
， O
造 O
成 O
门 O
窗 O
紧 O
闭 O
通 O
风 O
不 O
畅 O
等 O
原 O
因 O
， O
上 O
海 O
燃 O
气 O
安 O
全 O
事 O
故 O
发 O
生 O
率 O
有 O
所 O
上 O
升 O
， O
上 B-location
海 I-location
市 I-location
燃 O
气 O
管 O
理 O
部 O
门 O
要 O
求 O
相 O
关 O
单 O
位 O
对 O
燃 O
气 O
用 O
气 O
事 O
故 O
高 O
发 O
地 O
区 O
、 O
出 O
租 O
房 O
屋 O
集 O
中 O
地 O
区 O
进 O
行 O
一 O
次 O
全 O
面 O
的 O
安 O
全 O
检 O
查 O
