3 B-time
月 I-time
2 I-time
1 I-time
日 I-time
凌 I-time
晨 I-time
， O
广 B-location
东 I-location
省 I-location
东 I-location
莞 I-location
道 I-location
滘 I-location
镇 I-location
小 I-location
河 I-location
村 I-location
一 O
家 O
店 O
铺 O
传 O
来 O
一 O
声 O
巨 O
响 O
， O
街 O
坊 O
们 O
纷 O
纷 O
被 O
惊 O
醒 O
原 O
来 O
， O
店 O
铺 O
厨 O
房 O
的 O
液 B-reason
化 I-reason
石 I-reason
油 I-reason
气 I-reason
发 I-reason
生 I-reason
泄 I-reason
漏 I-reason
引 O
发 O
爆 O
炸 O
警 O
方 O
调 O
查 O
发 O
现 O
， O
是 O
患 O
有 O
精 O
神 O
疾 O
病 O
的 O
店 O
主 O
点 O
燃 O
了 O
煤 O
气 O
瓶 O
网 O
页 O
链 O
接 O
