3 B-time
月 I-time
5 I-time
日 I-time
早 O
， O
泰 B-location
国 I-location
首 I-location
都 I-location
曼 I-location
谷 I-location
市 I-location
内 O
发 O
生 O
渡 O
船 O
引 O
擎 O
爆 O
炸 O
事 O
件 O
， O
造 O
成 O
至 O
少 O
６ O
０ O
人 O
受 O
伤 O
爆 O
炸 O
造 O
成 O
至 O
少 O
６ O
０ O
人 O
受 O
伤 O
， O
其 O
中 O
两 O
人 O
伤 O
势 O
严 O
重 O
， O
伤 O
者 O
已 O
被 O
送 O
往 O
医 O
院 O
伤 O
者 O
的 O
伤 O
情 O
多 O
为 O
烧 O
伤 O
当 O
地 O
警 O
方 O
说 O
， O
初 O
步 O
判 O
断 O
爆 O
炸 O
系 O
渡 O
船 O
天 B-reason
然 I-reason
气 I-reason
燃 I-reason
料 I-reason
泄 I-reason
漏 I-reason
所 O
致 O
， O
相 O
关 O
调 O
查 O
仍 O
在 O
进 O
行 O
中 O
网 O
页 O
链 O
接 O
