3 B-time
月 I-time
1 I-time
6 I-time
日 I-time
上 O
午 O
， O
辽 B-location
宁 I-location
省 I-location
沈 I-location
阳 I-location
市 I-location
沈 I-location
河 I-location
区 I-location
小 I-location
北 I-location
关 I-location
街 I-location
1 O
2 O
6 O
号 O
一 O
户 O
居 O
民 O
厨 O
房 O
煤 O
气 O
突 O
然 O
着 O
火 O
， O
家 O
中 O
女 O
孩 O
求 O
救 O
燃 O
气 O
公 O
司 O
等 O
工 O
作 O
人 O
员 O
到 O
女 O
孩 O
家 O
时 O
门 O
口 O
时 O
发 O
现 O
屋 O
内 O
浓 O
烟 O
滚 O
滚 O
， O
在 O
灶 O
具 O
上 O
的 O
排 O
油 O
烟 O
机 O
和 O
厨 O
柜 O
已 O
经 O
开 O
始 O
燃 O
烧 O
燃 O
气 O
集 O
团 O
的 O
工 O
作 O
人 O
员 O
寻 O
找 O
燃 O
气 O
表 O
阀 O
门 O
并 O
将 O
其 O
关 O
闭 O
火 O
灾 O
最 O
终 O
由 O
消 O
防 O
队 O
员 O
扑 O
灭 O
家 O
中 O
煤 O
气 O
突 O
然 O
着 O
火 O
女 O
孩 O
向 O
燃 O
气 O
集 O
团 O
求 O
救 O
