3 B-time
月 I-time
7 I-time
日 I-time
， O
安 B-location
徽 I-location
省 I-location
霍 I-location
邱 I-location
县 I-location
长 I-location
集 I-location
镇 I-location
张 O
桥 O
村 O
一 O
农 O
户 O
因 O
担 O
心 O
购 O
买 O
的 O
1 O
5 O
0 O
0 O
只 O
鹅 O
苗 O
受 O
冻 O
， O
为 O
鹅 O
苗 O
搭 O
建 O
封 O
闭 O
的 O
大 O
棚 O
， O
并 O
在 O
大 O
棚 O
里 O
生 O
起 O
煤 O
炉 O
， O
由 O
于 O
大 O
棚 O
不 O
通 O
风 O
， O
男 O
主 O
人 O
一 B-reason
氧 I-reason
化 I-reason
碳 I-reason
中 I-reason
毒 I-reason
晕 O
倒 O
在 O
大 O
棚 O
里 O
， O
家 O
人 O
发 O
现 O
后 O
将 O
其 O
送 O
往 O
医 O
院 O
急 O
救 O
， O
因 O
抢 O
救 O
无 O
效 O
不 O
幸 O
身 O
亡 O
