4 B-time
月 I-time
1 I-time
0 I-time
日 I-time
， O
北 B-location
京 I-location
市 I-location
海 I-location
淀 I-location
区 I-location
红 I-location
联 I-location
南 I-location
村 I-location
小 I-location
区 I-location
一 O
燃 O
气 O
管 O
道 O
发 O
生 O
爆 O
燃 O
， O
引 O
发 O
附 O
近 O
居 O
民 O
楼 O
火 O
灾 O
， O
消 O
防 O
员 O
从 O
现 O
场 O
救 O
出 O
8 O
名 O
被 O
困 O
人 O
员 O
， O
疏 O
散 O
1 O
6 O
0 O
余 O
人 O
火 O
灾 O
造 O
成 O
1 O
人 O
死 O
亡 O
、 O
2 O
人 O
轻 O
伤 O
消 O
防 O
部 O
门 O
称 O
， O
火 O
灾 O
过 O
火 O
面 O
积 O
3 O
0 O
0 O
平 O
方 O
米 O
， O
事 O
发 O
原 O
因 O
系 O
施 O
工 O
工 O
地 O
挖 O
断 O
燃 O
气 O
管 O
道 O
， O
造 O
成 O
爆 O
燃 O
引 O
发 O
居 O
民 O
楼 O
火 O
灾 O
