3 B-time
月 I-time
7 I-time
日 I-time
下 I-time
午 I-time
5 I-time
时 I-time
， O
湖 B-location
北 I-location
省 I-location
大 I-location
冶 I-location
市 I-location
金 I-location
牛 I-location
镇 I-location
某 I-location
小 I-location
区 I-location
6 O
楼 O
发 O
生 O
一 O
起 O
液 B-reason
化 I-reason
气 I-reason
泄 I-reason
漏 I-reason
爆 O
炸 O
事 O
件 O
， O
造 O
成 O
祖 O
孙 O
俩 O
轻 O
度 O
烧 O
伤 O
经 O
初 O
步 O
调 O
查 O
， O
当 O
天 O
中 O
午 O
奶 O
奶 O
做 O
完 O
午 O
饭 O
后 O
没 O
有 O
将 O
煤 O
气 O
罐 O
阀 O
门 O
关 O
严 O
实 O
， O
导 O
致 O
煤 B-reason
气 I-reason
缓 I-reason
慢 I-reason
泄 I-reason
漏 I-reason
， O
由 O
于 O
泄 O
漏 O
量 O
较 O
小 O
， O
金 O
某 O
在 O
屋 O
内 O
并 O
没 O
有 O
闻 O
到 O
明 O
显 O
异 O
味 O
， O
晚 O
上 O
做 O
饭 O
点 O
火 O
时 O
引 O
发 O
了 O
爆 O
炸 O
煤 O
气 O
泄 O
漏 O
引 O
发 O
爆 O
炸 O
奶 O
奶 O
孙 O
女 O
受 O
伤 O
