2 B-time
月 I-time
3 I-time
日 I-time
夜 O
， O
河 B-location
南 I-location
省 I-location
辉 I-location
县 I-location
一 O
家 O
三 O
口 O
煤 B-reason
气 I-reason
中 I-reason
毒 I-reason
， O
三 O
人 O
死 O
亡 O
！ O
辉 B-location
县 I-location
市 I-location
南 I-location
寨 I-location
镇 I-location
北 I-location
流 I-location
村 I-location
村 O
民 O
赵 O
某 O
和 O
做 O
理 O
发 O
生 O
意 O
的 O
妻 O
子 O
忙 O
碌 O
了 O
一 O
天 O
， O
陪 O
着 O
6 O
岁 O
的 O
儿 O
子 O
进 O
入 O
甜 O
蜜 O
的 O
梦 O
乡 O
谁 O
也 O
没 O
有 O
想 O
到 O
， O
次 O
日 O
早 O
晨 O
， O
邻 O
居 O
们 O
发 O
现 O
， O
赵 O
某 O
一 O
家 O
3 O
口 O
因 O
煤 B-reason
气 I-reason
中 I-reason
毒 I-reason
全 O
部 O
死 O
亡 O
本 O
该 O
欢 O
乐 O
的 O
春 O
节 O
却 O
充 O
满 O
了 O
悲 O
哀 O
的 O
气 O
氛 O
