2 B-time
月 I-time
9 I-time
日 I-time
， O
广 B-location
东 I-location
省 I-location
广 I-location
州 I-location
市 I-location
天 I-location
河 I-location
区 I-location
员 I-location
村 I-location
一 O
栋 O
居 O
民 O
楼 O
的 O
5 O
楼 O
发 O
生 O
燃 B-reason
气 I-reason
泄 I-reason
漏 I-reason
消 O
防 O
员 O
到 O
现 O
场 O
后 O
， O
一 O
路 O
携 O
带 O
可 O
燃 O
气 O
体 O
探 O
测 O
仪 O
、 O
有 O
毒 O
气 O
体 O
探 O
测 O
仪 O
深 O
入 O
现 O
场 O
监 O
测 O
煤 O
气 O
浓 O
度 O
， O
并 O
要 O
求 O
业 O
主 O
停 O
止 O
任 O
何 O
电 O
路 O
作 O
业 O
； O
一 O
路 O
利 O
用 O
室 O
内 O
消 O
防 O
栓 O
， O
对 O
泄 O
漏 O
区 O
域 O
喷 O
水 O
稀 O
释 O
； O
其 O
余 O
人 O
员 O
对 O
泄 O
漏 O
区 O
周 O
围 O
的 O
居 O
民 O
进 O
行 O
疏 O
散 O
最 O
终 O
避 O
免 O
事 O
故 O
发 O
生 O
民 O
居 O
楼 O
煤 B-reason
气 I-reason
泄 I-reason
漏 I-reason
男 O
子 O
昏 O
迷 O
消 O
防 O
员 O
做 O
心 O
肺 O
复 O
苏 O
救 O
回 O
