4 B-time
月 I-time
5 I-time
日 I-time
2 I-time
2 I-time
时 I-time
许 I-time
， O
安 B-location
徽 I-location
省 I-location
合 I-location
肥 I-location
市 I-location
铜 I-location
陵 I-location
路 I-location
与 I-location
大 I-location
通 I-location
路 I-location
交 I-location
口 I-location
面 I-location
粉 I-location
厂 I-location
宿 I-location
舍 I-location
6 I-location
楼 I-location
发 O
生 O
了 O
爆 O
炸 O
， O
屋 O
内 O
多 O
扇 O
窗 O
户 O
被 O
炸 O
飞 O
坠 O
楼 O
， O
屋 O
内 O
一 O
男 O
子 O
双 O
手 O
和 O
面 O
部 O
以 O
及 O
背 O
部 O
均 O
被 O
灼 O
伤 O
据 O
了 O
解 O
， O
事 O
发 O
屋 O
内 O
有 O
个 O
煤 O
气 O
罐 O
， O
可 O
能 O
因 O
为 O
煤 B-reason
气 I-reason
罐 I-reason
泄 I-reason
漏 I-reason
导 O
致 O
， O
目 O
前 O
， O
伤 O
者 O
正 O
在 O
医 O
院 O
接 O
受 O
治 O
疗 O
中 O
具 O
体 O
原 O
因 O
相 O
关 O
部 O
门 O
也 O
在 O
调 O
查 O
