3 B-time
月 I-time
4 I-time
日 I-time
上 O
午 O
1 O
0 O
时 O
许 O
， O
广 B-location
西 I-location
柳 I-location
州 I-location
市 I-location
中 I-location
山 I-location
东 I-location
路 I-location
文 I-location
化 I-location
大 I-location
院 I-location
附 O
近 O
居 O
民 O
被 O
“ O
嘭 O
” O
的 O
一 O
声 O
巨 O
响 O
吓 O
住 O
居 O
民 O
循 O
声 O
查 O
看 O
发 O
现 O
， O
爆 O
炸 O
声 O
系 O
文 O
化 O
大 O
院 O
对 O
面 O
一 O
民 O
宅 O
厨 O
房 O
传 O
出 O
， O
随 O
即 O
报 O
警 O
求 O
助 O
据 O
介 O
绍 O
， O
爆 O
炸 O
疑 O
系 O
煤 B-reason
气 I-reason
管 I-reason
漏 I-reason
气 I-reason
所 O
致 O
， O
所 O
幸 O
事 O
故 O
未 O
造 O
成 O
人 O
员 O
伤 O
亡 O
柳 B-location
州 I-location
民 O
宅 O
厨 O
房 O
爆 O
炸 O
疑 O
煤 B-reason
气 I-reason
漏 I-reason
气 I-reason
