3 B-time
月 I-time
1 I-time
6 I-time
日 I-time
晚 I-time
， O
内 B-location
蒙 I-location
古 I-location
呼 I-location
和 I-location
浩 I-location
特 I-location
市 I-location
一 O
液 B-reason
化 I-reason
气 I-reason
罐 I-reason
储 I-reason
藏 I-reason
点 I-reason
发 I-reason
生 I-reason
爆 I-reason
炸 I-reason
， O
造 O
成 O
一 O
男 O
一 O
女 O
重 O
度 O
烧 O
伤 O
爆 O
炸 O
点 O
位 O
于 O
平 O
房 O
居 O
民 O
区 O
内 O
， O
据 O
邻 O
居 O
描 O
述 O
， O
共 O
听 O
到 O
约 O
8 O
次 O
爆 O
炸 O
声 O
， O
火 O
势 O
有 O
5 O
层 O
楼 O
高 O
据 O
悉 O
， O
出 O
租 O
房 O
内 O
储 O
藏 O
有 O
多 O
个 O
液 O
化 O
气 O
罐 O
， O
所 O
幸 O
当 O
时 O
屋 O
内 O
无 O
人 O
居 O
住 O
已 O
知 O
1 O
男 O
1 O
女 O
重 O
度 O
烧 O
伤 O
， O
其 O
中 O
女 O
性 O
身 O
体 O
大 O
面 O
积 O
烧 O
伤 O
， O
现 O
处 O
于 O
病 O
危 O
状 O
态 O
呼 B-location
和 I-location
浩 I-location
特 I-location
一 O
灌 B-reason
装 I-reason
液 I-reason
化 I-reason
气 I-reason
点 I-reason
发 I-reason
生 I-reason
爆 I-reason
炸 I-reason
( O
组 O
图 O
) O
