3 B-time
月 I-time
1 I-time
0 I-time
日 I-time
上 I-time
午 I-time
， O
海 B-location
南 I-location
省 I-location
海 I-location
口 I-location
市 I-location
秀 I-location
英 I-location
区 I-location
东 I-location
山 I-location
镇 I-location
一 O
农 O
户 O
家 O
中 O
发 O
生 O
液 B-reason
化 I-reason
气 I-reason
泄 I-reason
漏 I-reason
爆 O
炸 O
事 O
故 O
， O
造 O
成 O
一 O
人 O
被 O
烧 O
伤 O
居 O
民 O
周 B-name
德 I-name
发 I-name
一 O
早 O
起 O
来 O
准 O
备 O
出 O
门 O
干 O
活 O
谁 O
知 O
当 O
他 O
一 O
进 O
入 O
自 O
家 O
厨 O
房 O
， O
就 O
闻 O
到 O
了 O
一 O
股 O
刺 O
鼻 O
的 O
煤 O
气 O
味 O
他 O
急 O
忙 O
先 O
去 O
关 O
煤 O
气 O
罐 O
， O
又 O
去 O
关 O
煤 O
气 O
闸 O
， O
可 O
能 O
是 O
操 O
作 O
不 O
当 O
， O
当 O
即 O
发 O
生 O
了 O
爆 O
炸 O
， O
周 B-name
德 I-name
发 I-name
首 O
当 O
其 O
冲 O
， O
全 O
身 O
着 O
火 O
煤 B-reason
气 I-reason
爆 I-reason
炸 I-reason
海 O
口 O
瓜 O
菜 O
检 O
测 O
员 O
被 O
烧 O
伤 O
急 O
需 O
2 O
0 O
万 O
元 O
保 O
命 O
