6 B-time
月 I-time
2 I-time
2 I-time
日 I-time
下 O
午 O
， O
阜 O
阳 O
国 O
祯 O
燃 O
气 O
有 O
限 O
公 O
司 O
在 O
液 O
化 O
气 O
充 O
装 O
站 O
举 O
办 O
燃 O
气 O
事 O
故 O
应 O
急 O
预 O
案 O
演 O
练 O
， O
市 O
政 O
府 O
副 O
秘 O
书 O
长 O
王 B-name
泾 I-name
波 I-name
， O
市 O
安 O
监 O
局 O
局 O
长 O
李 B-name
智 I-name
、 O
副 O
局 O
长 O
李 B-name
贺 I-name
、 O
副 O
调 O
研 O
员 O
王 B-name
煌 I-name
辉 I-name
， O
市 O
质 O
监 O
局 O
、 O
市 O
公 O
安 O
局 O
、 O
市 O
消 O
防 O
支 O
队 O
相 O
关 O
领 O
导 O
， O
颍 O
泉 O
区 O
安 O
监 O
局 O
、 O
颍 O
泉 O
区 O
住 O
建 O
局 O
、 O
颍 O
泉 O
区 O
市 O
场 O
监 O
管 O
局 O
相 O
关 O
领 O
导 O
， O
国 O
祯 O
燃 O
气 O
公 O
司 O
相 O
关 O
领 O
导 O
参 O
加 O
演 O
练 O
事 O
故 O
应 O
急 O
预 O
案 O
演 O
练 O
从 O
L O
N O
G O
槽 O
车 O
追 O
尾 O
泄 O
漏 O
应 O
急 O
处 O
置 O
、 O
液 O
化 O
气 O
钢 O
瓶 O
泄 O
露 O
着 O
火 O
以 O
及 O
泄 O
漏 O
后 O
倾 O
倒 O
着 O
火 O
应 O
急 O
处 O
置 O
、 O
液 O
化 O
气 O
储 O
配 O
站 O
槽 O
车 O
装 O
车 O
过 O
程 O
中 O
万 O
向 O
节 O
与 O
槽 O
车 O
连 O
接 O
部 O
位 O
大 O
量 O
泄 O
漏 O
应 O
急 O
处 O
置 O
、 O
P O
E O
管 O
紧 O
急 O
开 O
孔 O
供 O
气 O
应 O
急 O
处 O
置 O
、 O
液 B-reason
化 I-reason
气 I-reason
储 I-reason
罐 I-reason
泄 I-reason
漏 I-reason
应 O
急 O
处 O
置 O
五 O
个 O
方 O
面 O
展 O
开 O
通 O
过 O
此 O
次 O
事 O
故 O
应 O
急 O
预 O
案 O
演 O
练 O
， O
提 O
高 O
了 O
国 O
祯 O
燃 O
气 O
事 O
故 O
应 O
急 O
救 O
援 O
能 O
力 O
， O
增 O
强 O
了 O
全 O
民 O
安 O
全 O
生 O
产 O
意 O
识 O
， O
将 O
今 O
年 O
的 O
“ O
安 O
全 O
生 O
产 O
月 O
” O
活 O
动 O
推 O
向 O
高 O
潮 O
