4 B-time
月 I-time
1 I-time
0 I-time
日 I-time
1 O
0 O
点 O
左 O
右 O
， O
湖 B-location
北 I-location
省 I-location
武 I-location
汉 I-location
市 I-location
武 I-location
昌 I-location
区 I-location
翠 I-location
柳 I-location
街 I-location
一 O
居 O
民 O
楼 O
3 O
楼 O
发 O
生 O
燃 B-reason
气 I-reason
泄 I-reason
漏 I-reason
爆 O
炸 O
事 O
故 O
， O
并 O
导 O
致 O
起 O
火 O
燃 O
烧 O
事 O
故 O
造 O
成 O
家 O
中 O
2 O
人 O
受 O
伤 O
， O
没 O
有 O
生 O
命 O
危 O
险 O
据 O
悉 O
事 O
故 O
原 O
因 O
是 O
管 O
道 O
泄 O
漏 O
后 O
用 O
户 O
开 O
火 O
测 O
漏 O
引 O
发 O
的 O
网 O
页 O
链 O
接 O
