3 B-time
月 I-time
1 I-time
0 I-time
日 I-time
早 O
上 O
7 O
时 O
5 O
8 O
分 O
， O
浙 B-location
江 I-location
省 I-location
温 I-location
州 I-location
市 I-location
瓯 O
海 O
一 O
农 O
户 O
家 O
中 O
液 O
化 O
气 O
罐 O
起 O
火 O
燃 O
烧 O
， O
经 O
消 O
防 O
战 O
士 O
出 O
警 O
后 O
排 O
除 O
火 O
情 O
， O
避 O
免 O
一 O
次 O
爆 O
炸 O
事 O
故 O
发 O
生 O
据 O
悉 O
事 O
故 O
原 O
因 O
是 O
因 O
为 O
老 O
人 O
使 O
用 O
煤 O
气 O
不 O
当 O
， O
致 O
使 O
煤 B-reason
气 I-reason
泄 I-reason
漏 I-reason
造 O
成 O
的 O
一 O
民 O
房 O
发 O
生 O
煤 B-reason
气 I-reason
爆 I-reason
炸 I-reason
温 B-location
州 I-location
瓯 O
海 O
消 O
防 O
官 O
兵 O
排 O
险 O
