3 B-time
月 I-time
2 I-time
日 I-time
上 I-time
午 I-time
， O
河 B-location
南 I-location
省 I-location
漯 I-location
河 I-location
市 I-location
源 I-location
汇 I-location
区 I-location
八 I-location
一 I-location
路 I-location
与 O
团 O
结 O
路 O
交 O
叉 O
口 O
附 O
近 O
， O
一 O
住 O
家 O
户 O
的 O
煤 O
气 O
罐 O
突 O
然 O
发 O
生 O
爆 O
炸 O
， O
爆 O
炸 O
产 O
生 O
的 O
威 O
力 O
直 O
接 O
将 O
厨 O
房 O
窗 O
户 O
震 O
碎 O
， O
同 O
时 O
引 O
燃 O
了 O
家 O
中 O
其 O
他 O
物 O
件 O
起 O
火 O
所 O
幸 O
， O
消 O
防 O
官 O
兵 O
迅 O
速 O
赶 O
到 O
现 O
场 O
， O
将 O
烫 O
手 O
的 O
煤 O
气 O
罐 O
抱 O
出 O
， O
并 O
及 O
时 O
将 O
火 O
灾 O
扑 O
灭 O
， O
没 O
有 O
造 O
成 O
人 O
员 O
伤 O
亡 O
煤 O
气 O
罐 O
超 O
期 O
服 O
役 O
突 O
然 O
爆 O
炸 O
起 O
火 O
