3 B-time
月 I-time
1 I-time
9 I-time
日 I-time
凌 I-time
晨 I-time
， O
四 B-location
川 I-location
省 I-location
巴 I-location
中 I-location
城 I-location
区 I-location
一 O
旅 O
馆 O
发 O
生 O
煤 B-reason
气 I-reason
中 I-reason
毒 I-reason
事 O
故 O
， O
住 O
店 O
客 O
人 O
中 O
， O
2 O
人 O
不 O
幸 O
死 O
亡 O
， O
另 O
外 O
4 O
人 O
被 O
紧 O
急 O
送 O
往 O
医 O
院 O
据 O
悉 O
事 O
故 O
原 O
因 O
可 O
能 O
是 O
由 O
旅 O
客 O
洗 O
澡 O
造 O
成 O
的 O
四 B-location
川 I-location
一 O
旅 O
馆 O
发 O
生 O
煤 B-reason
气 I-reason
泄 I-reason
漏 I-reason
2 O
人 O
中 O
毒 O
死 O
亡 O
4 O
人 O
送 O
医 O
