3 B-time
月 I-time
1 I-time
2 I-time
日 I-time
晚 I-time
， O
江 B-location
苏 I-location
省 I-location
南 I-location
通 I-location
市 I-location
海 I-location
门 I-location
工 I-location
业 I-location
园 I-location
区 I-location
益 O
民 O
村 O
农 O
户 O
黄 O
某 O
家 O
中 O
发 O
生 O
钢 O
瓶 O
液 B-reason
化 I-reason
气 I-reason
泄 I-reason
漏 I-reason
爆 O
炸 O
事 O
件 O
造 O
成 O
黄 O
某 O
家 O
中 O
门 O
窗 O
玻 O
璃 O
震 O
坏 O
， O
幸 O
未 O
造 O
成 O
人 O
员 O
伤 O
亡 O
据 O
黄 O
某 O
分 O
析 O
， O
可 O
能 O
是 O
其 O
母 O
亲 O
未 O
将 O
钢 O
瓶 O
液 O
化 O
气 O
阀 O
门 O
扭 O
紧 O
， O
遇 O
到 O
明 O
火 O
后 O
发 O
生 O
了 O
爆 O
炸 O
南 B-location
通 I-location
海 O
门 O
一 O
居 O
民 O
家 O
中 O
钢 B-reason
瓶 I-reason
漏 I-reason
气 I-reason
爆 I-reason
炸 I-reason
无 O
人 O
伤 O
亡 O
