3 B-time
月 I-time
1 I-time
日 I-time
1 I-time
1 I-time
时 I-time
4 I-time
8 I-time
分 I-time
， O
浙 B-location
江 I-location
省 I-location
义 I-location
乌 I-location
市 I-location
洪 I-location
华 I-location
村 I-location
一 O
民 O
房 O
五 O
楼 O
发 O
生 O
煤 O
气 O
爆 O
炸 O
据 O
屋 O
主 O
徐 O
先 O
生 O
介 O
绍 O
， O
煤 B-reason
气 I-reason
爆 I-reason
炸 I-reason
事 O
故 O
是 O
突 O
然 O
间 O
发 O
生 O
的 O
爆 O
炸 O
发 O
生 O
时 O
， O
他 O
与 O
儿 O
媳 O
正 O
在 O
厨 O
房 O
内 O
烧 O
午 O
饭 O
， O
幸 O
好 O
紧 O
急 O
避 O
开 O
了 O
经 O
过 O
检 O
测 O
， O
徐 O
先 O
生 O
家 O
里 O
的 O
煤 O
气 O
橡 O
胶 O
管 O
存 O
在 O
漏 O
气 O
， O
估 O
计 O
是 O
橡 B-reason
胶 I-reason
管 I-reason
漏 I-reason
气 I-reason
导 O
致 O
爆 O
炸 O
事 O
故 O
的 O
发 O
生 O
