3 B-time
月 I-time
2 I-time
1 I-time
日 I-time
中 I-time
午 I-time
， O
黑 B-location
龙 I-location
江 I-location
省 I-location
绥 I-location
化 I-location
市 I-location
世 O
隆 O
雅 O
居 O
小 O
区 O
一 O
户 O
住 O
宅 O
发 O
生 O
煤 B-reason
气 I-reason
罐 I-reason
爆 I-reason
炸 I-reason
事 O
故 O
一 O
老 O
人 O
使 O
用 O
液 O
化 O
气 O
罐 O
时 O
， O
因 O
胶 O
管 O
老 O
化 O
龟 O
裂 O
引 O
起 O
液 B-reason
化 I-reason
气 I-reason
泄 I-reason
漏 I-reason
， O
进 O
而 O
导 O
致 O
火 O
灾 O
, O
老 O
人 O
撤 O
到 O
楼 O
下 O
拨 O
打 O
1 O
1 O
9 O
报 O
火 O
警 O
后 O
， O
罐 O
内 O
气 O
体 O
燃 O
烧 O
至 O
负 O
压 O
， O
回 O
火 O
产 O
生 O
罐 O
体 O
爆 O
炸 O
， O
发 O
生 O
事 O
故 O
的 O
室 O
内 O
因 O
爆 O
炸 O
损 O
失 O
严 O
重 O
， O
所 O
幸 O
无 O
人 O
员 O
伤 O
亡 O
网 O
页 O
链 O
接 O
