2 B-time
月 I-time
1 I-time
8 I-time
日 I-time
， O
市 O
委 O
、 O
市 O
政 O
府 O
召 O
开 O
专 O
题 O
会 O
议 O
， O
听 O
取 O
去 O
年 O
入 O
冬 O
以 O
来 O
几 O
起 O
燃 O
气 O
事 O
故 O
情 O
况 O
汇 O
报 O
会 O
议 O
指 O
出 O
， O
燃 O
气 O
安 O
全 O
涉 O
及 O
千 O
家 O
万 O
户 O
， O
关 O
系 O
人 O
民 O
群 O
众 O
生 O
命 O
财 O
产 O
安 O
全 O
， O
市 O
委 O
、 O
市 O
政 O
府 O
高 O
度 O
重 O
视 O
要 O
坚 O
持 O
以 O
人 O
民 O
为 O
中 O
心 O
的 O
发 O
展 O
思 O
想 O
， O
牢 O
固 O
树 O
立 O
安 O
全 O
发 O
展 O
理 O
念 O
和 O
“ O
红 O
线 O
” O
意 O
识 O
， O
采 O
取 O
更 O
加 O
行 O
之 O
有 O
效 O
措 O
施 O
， O
确 O
保 O
全 O
市 O
燃 O
气 O
安 O
全 O
形 O
势 O
稳 O
定 O
， O
为 O
鞍 O
山 O
高 O
质 O
量 O
发 O
展 O
营 O
造 O
安 O
全 O
稳 O
定 O
的 O
社 O
会 O
环 O
境 O
会 O
议 O
强 O
调 O
， O
要 O
深 O
刻 O
吸 O
取 O
近 O
期 O
发 O
生 O
的 O
事 O
故 O
教 O
训 O
， O
坚 O
持 O
举 O
一 O
反 O
三 O
， O
全 O
面 O
加 O
强 O
安 O
全 O
管 O
理 O
， O
坚 O
决 O
遏 O
制 O
燃 O
气 O
安 O
全 O
恶 O
性 O
事 O
件 O
发 O
生 O
要 O
进 O
一 O
步 O
加 O
强 O
燃 O
气 O
安 O
全 O
知 O
识 O
宣 O
传 O
力 O
度 O
， O
提 O
高 O
用 O
户 O
安 O
全 O
用 O
气 O
意 O
识 O
， O
普 O
及 O
必 O
要 O
的 O
安 O
全 O
操 O
作 O
知 O
识 O
， O
提 O
高 O
应 O
对 O
突 O
发 O
事 O
故 O
的 O
能 O
力 O
； O
对 O
需 O
要 O
特 O
殊 O
关 O
注 O
的 O
老 O
弱 O
病 O
残 O
等 O
群 O
体 O
， O
要 O
做 O
到 O
手 O
把 O
手 O
教 O
、 O
面 O
对 O
面 O
讲 O
、 O
一 O
对 O
一 O
帮 O
， O
提 O
高 O
其 O
自 O
我 O
防 O
护 O
保 O
护 O
能 O
力 O
； O
要 O
科 O
学 O
设 O
置 O
、 O
安 O
装 O
燃 O
气 O
泄 O
漏 O
报 O
警 O
设 O
备 O
要 O
落 O
实 O
基 O
层 O
责 O
任 O
， O
推 O
进 O
安 O
全 O
预 O
防 O
体 O
系 O
建 O
设 O
， O
建 O
立 O
安 O
全 O
风 O
险 O
管 O
控 O
制 O
度 O
， O
形 O
成 O
重 O
大 O
安 O
全 O
风 O
险 O
联 O
防 O
联 O
控 O
机 O
制 O
要 O
加 O
快 O
推 O
进 O
燃 O
气 O
危 O
旧 O
管 O
网 O
改 O
造 O
， O
消 O
除 O
安 O
全 O
供 O
气 O
隐 O
患 O
， O
切 O
实 O
保 O
障 O
人 O
民 O
群 O
众 O
生 O
命 O
财 O
产 O
安 O
全 O
； O
要 O
全 O
面 O
排 O
查 O
燃 O
气 O
管 O
网 O
安 O
全 O
隐 O
患 O
， O
加 O
强 O
城 O
区 O
管 O
网 O
巡 O
线 O
检 O
查 O
， O
发 O
现 O
问 O
题 O
及 O
时 O
果 O
断 O
处 O
理 O
对 O
于 O
发 O
生 O
事 O
故 O
， O
信 O
息 O
报 O
送 O
不 O
及 O
时 O
的 O
， O
要 O
严 O
肃 O
问 O
责 O
