中 B-name
华 I-name
人 I-name
民 I-name
共 I-name
和 I-name
国 I-name
城 I-name
镇 I-name
建 I-name
设 I-name
行 I-name
业 I-name
标 I-name
准 B-content
前 I-content
言 I-content
本 I-content
标 I-content
准 I-content
按 I-content
照 I-content
G I-content
B I-content
／ I-content
T I-content
1 I-content
. I-content
1 I-content
— I-content
2 I-content
0 I-content
0 I-content
9 I-content
给 I-content
出 I-content
的 I-content
规 I-content
则 I-content
起 I-content
草 I-content
本 I-content
标 I-content
准 I-content
由 I-content
住 I-content
房 I-content
和 I-content
城 I-content
乡 I-content
建 I-content
设 I-content
部 I-content
标 I-content
准 I-content
定 I-content
额 I-content
研 I-content
究 I-content
所 I-content
提 I-content
出 I-content
本 I-content
标 I-content
准 I-content
由 I-content
住 I-content
房 I-content
和 I-content
城 I-content
乡 I-content
建 I-content
设 I-content
部 I-content
燃 I-content
气 I-content
标 I-content
准 I-content
化 I-content
技 I-content
术 I-content
委 I-content
员 I-content
会 I-content
归 I-content
口 I-content
本 I-content
标 I-content
准 I-content
负 I-content
责 I-content
起 I-content
草 I-content
单 I-content
位 I-content
： I-content
北 I-content
京 I-content
航 I-content
天 I-content
凯 I-content
撒 I-content
国 I-content
际 I-content
投 I-content
资 I-content
管 I-content
理 I-content
有 I-content
限 I-content
公 I-content
司 I-content
本 I-content
标 I-content
准 I-content
参 I-content
加 I-content
起 I-content
草 I-content
单 I-content
位 I-content
： I-content
北 I-content
京 I-content
航 I-content
天 I-content
凯 I-content
撒 I-content
系 I-content
统 I-content
科 I-content
技 I-content
有 I-content
限 I-content
公 I-content
司 I-content
、 I-content
涿 I-content
州 I-content
航 I-content
天 I-content
凯 I-content
撒 I-content
管 I-content
路 I-content
系 I-content
统 I-content
有 I-content
限 I-content
公 I-content
司 I-content
、 I-content
成 I-content
都 I-content
品 I-content
冠 I-content
管 I-content
业 I-content
有 I-content
限 I-content
公 I-content
司 I-content
本 I-content
标 I-content
准 I-content
主 I-content
要 I-content
起 I-content
草 I-content
人 I-content
： I-content
葛 I-content
玉 I-content
同 I-content
、 I-content
贾 I-content
智 I-content
华 I-content
、 I-content
郑 I-content
平 I-content
萍 I-content
、 I-content
康 I-content
辉 I-content
、 I-content
汪 I-content
仕 I-content
斌 I-content
、 I-content
王 I-content
婷 I-content
婷 I-content
1 O
范 B-range
围 I-range
本 I-range
标 I-range
准 I-range
规 I-range
定 I-range
了 I-range
燃 I-range
气 I-range
用 I-range
铝 I-range
合 I-range
金 I-range
衬 I-range
塑 I-range
复 I-range
合 I-range
管 I-range
材 I-range
及 I-range
管 I-range
件 I-range
的 I-range
术 I-range
语 I-range
和 I-range
定 I-range
义 I-range
、 I-range
符 I-range
号 I-range
， I-range
材 I-range
料 I-range
， I-range
要 I-range
求 I-range
， I-range
试 I-range
验 I-range
方 I-range
法 I-range
， I-range
检 I-range
验 I-range
规 I-range
则 I-range
， I-range
标 I-range
志 I-range
、 I-range
包 I-range
装 I-range
、 I-range
运 I-range
输 I-range
和 I-range
贮 I-range
存 I-range
本 I-range
标 I-range
准 I-range
适 I-range
用 I-range
于 I-range
工 I-range
作 I-range
压 I-range
力 I-range
不 I-range
大 I-range
于 I-range
0 I-range
. I-range
4 I-range
M I-range
P I-range
a I-range
、 I-range
公 I-range
称 I-range
直 I-range
径 I-range
不 I-range
大 I-range
于 I-range
D I-range
N I-range
1 I-range
0 I-range
0 I-range
的 I-range
户 I-range
内 I-range
燃 I-range
气 I-range
输 I-range
送 I-range
用 I-range
铝 I-range
合 I-range
金 I-range
衬 I-range
塑 I-range
复 I-range
合 I-range
管 I-range
材 I-range
及 I-range
管 I-range
件 I-range
总 I-range
体 I-range
使 I-range
用 I-range
（ I-range
设 I-range
计 I-range
） I-range
系 I-range
数 I-range
C I-range
≥ I-range
2 I-range
2 O
规 O
范 O
性 O
引 O
用 O
文 O
件 O
下 O
列 O
文 O
件 O
对 O
于 O
本 O
文 O
件 O
的 O
应 O
用 O
是 O
必 O
不 O
可 O
少 O
的 O
凡 O
是 O
注 O
日 O
期 O
的 O
引 O
用 O
文 O
件 O
， O
仅 O
注 O
日 O
期 O
的 O
版 O
本 O
适 O
用 O
于 O
本 O
文 O
件 O
凡 O
是 O
不 O
注 O
日 O
期 O
的 O
引 O
用 O
文 O
件 O
， O
其 O
最 O
新 O
版 O
本 O
（ O
包 O
括 O
所 O
有 O
的 O
修 O
改 O
单 O
） O
适 O
用 O
于 O
本 O
文 O
件 O
G O
B O
／ O
T O
2 O
8 O
2 O
8 O
. O
1 O
计 O
数 O
抽 O
样 O
检 O
验 O
程 O
序 O
第 O
1 O
部 O
分 O
： O
按 O
接 O
收 O
质 O
量 O
限 O
（ O
A O
Q O
L O
） O
检 O
索 O
的 O
逐 O
批 O
检 O
验 O
抽 O
样 O
计 O
划 O
G O
B O
／ O
T O
2 O
9 O
1 O
8 O
塑 O
料 O
试 O
样 O
状 O
态 O
调 O
节 O
和 O
试 O
验 O
的 O
标 O
准 O
环 O
境 O
G O
B O
／ O
T O
3 O
1 O
9 O
0 O
变 O
形 O
铝 O
及 O
铝 O
合 O
金 O
化 O
学 O
成 O
分 O
G O
B O
／ O
T O
3 O
6 O
8 O
2 O
热 O
塑 O
性 O
塑 O
料 O
熔 O
体 O
质 O
量 O
流 O
动 O
速 O
率 O
和 O
熔 O
体 O
体 O
积 O
流 O
动 O
速 O
率 O
的 O
测 O
定 O
G O
B O
／ O
T O
4 O
4 O
3 O
7 O
. O
1 O
铝 O
及 O
铝 O
合 O
金 O
热 O
挤 O
压 O
管 O
第 O
1 O
部 O
分 O
： O
无 O
缝 O
圆 O
管 O
G O
B O
／ O
T O
6 O
1 O
1 O
1 O
流 O
体 O
输 O
送 O
用 O
热 O
塑 O
性 O
塑 O
料 O
管 O
材 O
耐 O
内 O
压 O
试 O
验 O
方 O
法 O
G O
B O
／ O
T O
6 O
6 O
7 O
1 O
热 O
塑 O
性 O
塑 O
料 O
管 O
材 O
纵 O
向 O
回 O
缩 O
率 O
的 O
测 O
定 O
G O
B O
／ O
T O
7 O
3 O
0 O
7 O
5 O
5 O
° O
非 O
密 O
封 O
管 O
螺 O
纹 O
G O
B O
／ O
T O
8 O
8 O
0 O
6 O
塑 O
料 O
管 O
道 O
系 O
统 O
塑 O
料 O
部 O
件 O
尺 O
寸 O
的 O
测 O
定 O
G O
B O
1 O
5 O
5 O
5 O
8 O
. O
1 O
燃 O
气 O
用 O
埋 O
地 O
聚 O
乙 O
烯 O
（ O
P O
E O
） O
管 O
道 O
系 O
统 O
第 O
1 O
部 O
分 O
： O
管 O
材 O
G O
B O
1 O
5 O
5 O
5 O
8 O
. O
2 O
燃 O
气 O
用 O
埋 O
地 O
聚 O
乙 O
烯 O
（ O
P O
E O
） O
管 O
道 O
系 O
统 O
第 O
2 O
部 O
分 O
： O
管 O
件 O
G O
B O
／ O
T O
1 O
7 O
3 O
9 O
1 O
聚 O
乙 O
烯 O
管 O
材 O
与 O
管 O
件 O
热 O
稳 O
定 O
性 O
试 O
验 O
方 O
法 O
3 O
术 B-definition
语 I-definition
和 I-definition
定 I-definition
义 I-definition
、 I-definition
符 I-definition
号 I-definition
3 I-definition
. I-definition
1 I-definition
术 I-definition
语 I-definition
和 I-definition
定 I-definition
义 I-definition
下 I-definition
列 I-definition
术 I-definition
语 I-definition
和 I-definition
定 I-definition
义 I-definition
适 I-definition
用 I-definition
于 I-definition
本 I-definition
文 I-definition
件 I-definition
3 I-definition
. I-definition
1 I-definition
. I-definition
1 I-definition
燃 I-definition
气 I-definition
用 I-definition
铝 I-definition
合 I-definition
金 I-definition
衬 I-definition
塑 I-definition
复 I-definition
合 I-definition
管 I-definition
材 I-definition
a I-definition
l I-definition
u I-definition
m I-definition
i I-definition
n I-definition
u I-definition
m I-definition
- I-definition
p I-definition
l I-definition
a I-definition
s I-definition
t I-definition
i I-definition
c I-definition
l I-definition
a I-definition
m I-definition
i I-definition
n I-definition
a I-definition
t I-definition
e I-definition
d I-definition
p I-definition
i I-definition
p I-definition
e I-definition
f I-definition
o I-definition
r I-definition
t I-definition
h I-definition
e I-definition
s I-definition
u I-definition
p I-definition
p I-definition
l I-definition
y I-definition
o I-definition
f I-definition
g I-definition
a I-definition
s I-definition
e I-definition
o I-definition
u I-definition
s I-definition
f I-definition
u I-definition
e I-definition
l I-definition
s I-definition
外 I-definition
管 I-definition
为 I-definition
铝 I-definition
合 I-definition
金 I-definition
管 I-definition
、 I-definition
内 I-definition
管 I-definition
为 I-definition
聚 I-definition
乙 I-definition
烯 I-definition
管 I-definition
， I-definition
经 I-definition
预 I-definition
应 I-definition
力 I-definition
复 I-definition
合 I-definition
而 I-definition
成 I-definition
的 I-definition
燃 I-definition
气 I-definition
用 I-definition
两 I-definition
层 I-definition
结 I-definition
构 I-definition
管 I-definition
材 I-definition
（ I-definition
以 I-definition
下 I-definition
简 I-definition
称 I-definition
“ I-definition
管 I-definition
材 I-definition
” I-definition
） I-definition
3 I-definition
. I-definition
1 I-definition
. I-definition
2 I-definition
外 I-definition
管 I-definition
o I-definition
u I-definition
t I-definition
s I-definition
i I-definition
d I-definition
e I-definition
p I-definition
i I-definition
p I-definition
e I-definition
燃 I-definition
气 I-definition
用 I-definition
铝 I-definition
合 I-definition
金 I-definition
衬 I-definition
塑 I-definition
复 I-definition
合 I-definition
管 I-definition
材 I-definition
的 I-definition
外 I-definition
层 I-definition
结 I-definition
构 I-definition
， I-definition
为 I-definition
热 I-definition
挤 I-definition
压 I-definition
成 I-definition
型 I-definition
的 I-definition
铝 I-definition
合 I-definition
金 I-definition
无 I-definition
缝 I-definition
圆 I-definition
管 I-definition
3 I-definition
. I-definition
1 I-definition
. I-definition
3 I-definition
内 I-definition
管 I-definition
i I-definition
n I-definition
s I-definition
i I-definition
d I-definition
e I-definition
p I-definition
i I-definition
p I-definition
e I-definition
燃 I-definition
气 I-definition
用 I-definition
铝 I-definition
合 I-definition
金 I-definition
衬 I-definition
塑 I-definition
复 I-definition
合 I-definition
管 I-definition
材 I-definition
的 I-definition
内 I-definition
层 I-definition
结 I-definition
构 I-definition
， I-definition
为 I-definition
挤 I-definition
出 I-definition
成 I-definition
型 I-definition
的 I-definition
聚 I-definition
乙 I-definition
烯 I-definition
管 I-definition
3 I-definition
. I-definition
1 I-definition
. I-definition
4 I-definition
公 I-definition
称 I-definition
直 I-definition
径 I-definition
n I-definition
o I-definition
m I-definition
i I-definition
n I-definition
a I-definition
l I-definition
d I-definition
i I-definition
a I-definition
m I-definition
e I-definition
t I-definition
e I-definition
r I-definition
燃 I-definition
气 I-definition
用 I-definition
铝 I-definition
合 I-definition
金 I-definition
衬 I-definition
塑 I-definition
复 I-definition
合 I-definition
管 I-definition
材 I-definition
的 I-definition
计 I-definition
算 I-definition
直 I-definition
径 I-definition
， I-definition
不 I-definition
是 I-definition
管 I-definition
材 I-definition
的 I-definition
实 I-definition
际 I-definition
直 I-definition
径 I-definition
是 I-definition
管 I-definition
路 I-definition
系 I-definition
统 I-definition
中 I-definition
所 I-definition
有 I-definition
管 I-definition
材 I-definition
及 I-definition
附 I-definition
件 I-definition
用 I-definition
数 I-definition
字 I-definition
表 I-definition
示 I-definition
的 I-definition
尺 I-definition
寸 I-definition
， I-definition
供 I-definition
参 I-definition
考 I-definition
用 I-definition
的 I-definition
一 I-definition
个 I-definition
方 I-definition
便 I-definition
圆 I-definition
整 I-definition
数 I-definition
， I-definition
用 I-definition
符 I-definition
号 I-definition
D I-definition
N I-definition
表 I-definition
示 I-definition
3 I-definition
. I-definition
1 I-definition
. I-definition
5 I-definition
总 I-definition
体 I-definition
使 I-definition
用 I-definition
（ I-definition
设 I-definition
计 I-definition
） I-definition
系 I-definition
数 I-definition
o I-definition
v I-definition
e I-definition
r I-definition
a I-definition
l I-definition
I I-definition
s I-definition
e I-definition
r I-definition
v I-definition
i I-definition
c I-definition
e I-definition
（ I-definition
d I-definition
e I-definition
s I-definition
i I-definition
g I-definition
n I-definition
） I-definition
c I-definition
o I-definition
e I-definition
f I-definition
f I-definition
i I-definition
c I-definition
i I-definition
e I-definition
n I-definition
t I-definition
一 I-definition
个 I-definition
大 I-definition
于 I-definition
1 I-definition
的 I-definition
系 I-definition
数 I-definition
， I-definition
它 I-definition
考 I-definition
虑 I-definition
了 I-definition
未 I-definition
在 I-definition
置 I-definition
信 I-definition
下 I-definition
限 I-definition
o I-definition
1 I-definition
c I-definition
体 I-definition
现 I-definition
出 I-definition
的 I-definition
使 I-definition
用 I-definition
条 I-definition
件 I-definition
和 I-definition
管 I-definition
道 I-definition
系 I-definition
统 I-definition
中 I-definition
组 I-definition
件 I-definition
的 I-definition
性 I-definition
能 I-definition
3 I-definition
. I-definition
1 I-definition
. I-definition
6 I-definition
户 I-definition
内 I-definition
i I-definition
n I-definition
d I-definition
o I-definition
o I-definition
r I-definition
建 I-definition
筑 I-definition
体 I-definition
的 I-definition
室 I-definition
内 I-definition
和 I-definition
室 I-definition
外 I-definition
3 I-definition
. I-definition
2 I-definition
符 I-definition
号 I-definition
C I-definition
： I-definition
总 I-definition
体 I-definition
使 I-definition
用 I-definition
（ I-definition
设 I-definition
计 I-definition
） I-definition
系 I-definition
数 I-definition
； I-definition
D I-definition
： I-definition
最 I-definition
小 I-definition
通 I-definition
径 I-definition
； I-definition
d I-definition
＿ I-definition
＿ I-definition
： I-definition
平 I-definition
均 I-definition
外 I-definition
径 I-definition
； I-definition
d I-definition
： I-definition
内 I-definition
管 I-definition
平 I-definition
均 I-definition
外 I-definition
径 I-definition
最 I-definition
大 I-definition
值 I-definition
； I-definition
d I-definition
■ I-definition
m I-definition
m I-definition
i I-definition
： I-definition
内 I-definition
管 I-definition
平 I-definition
均 I-definition
外 I-definition
径 I-definition
最 I-definition
小 I-definition
值 I-definition
； I-definition
D I-definition
N I-definition
： I-definition
公 I-definition
称 I-definition
直 I-definition
径 I-definition
； I-definition
d I-definition
＿ I-definition
： I-definition
承 I-definition
口 I-definition
的 I-definition
平 I-definition
均 I-definition
内 I-definition
径 I-definition
； I-definition
d I-definition
. I-definition
m I-definition
. I-definition
m I-definition
： I-definition
热 I-definition
熔 I-definition
承 I-definition
口 I-definition
的 I-definition
最 I-definition
大 I-definition
平 I-definition
均 I-definition
内 I-definition
径 I-definition
； I-definition
d I-definition
. I-definition
■ I-definition
： I-definition
热 I-definition
熔 I-definition
承 I-definition
口 I-definition
的 I-definition
最 I-definition
小 I-definition
平 I-definition
均 I-definition
内 I-definition
径 I-definition
； I-definition
： I-definition
热 I-definition
熔 I-definition
承 I-definition
插 I-definition
连 I-definition
接 I-definition
管 I-definition
件 I-definition
的 I-definition
壁 I-definition
厚 I-definition
； I-definition
L I-definition
最 I-definition
小 I-definition
承 I-definition
口 I-definition
深 I-definition
度 I-definition
； I-definition
L I-definition
： I-definition
最 I-definition
小 I-definition
插 I-definition
入 I-definition
深 I-definition
度 I-definition
4 O
材 O
料 O
4 O
. O
1 O
管 O
材 O
材 O
料 O
4 O
. O
1 O
. O
1 O
管 O
材 O
外 O
管 O
材 O
料 O
管 O
材 O
外 O
管 O
材 O
料 O
为 O
变 O
形 O
铝 O
合 O
金 O
材 O
料 O
， O
其 O
化 O
学 O
成 O
分 O
应 O
符 O
合 O
G O
B O
／ O
T O
3 O
1 O
9 O
0 O
的 O
规 O
定 O
， O
其 O
材 O
料 O
性 O
能 O
应 O
符 O
合 O
G O
B O
／ O
T O
4 O
4 O
3 O
7 O
. O
1 O
的 O
规 O
定 O
， O
见 O
表 O
1 O
表 O
1 O
管 O
材 O
外 O
管 O
材 O
料 O
性 O
能 O
抗 O
拉 O
强 O
度 O
断 O
裂 O
伸 O
长 O
率 O
规 O
定 O
非 O
比 O
例 O
伸 O
长 O
应 O
力 O
M O
P O
a O
% O
M O
P O
a O
≥ O
1 O
3 O
0 O
≥ O
1 O
2 O
≥ O
7 O
0 O
4 O
. O
1 O
. O
2 O
管 O
材 O
内 O
管 O
材 O
料 O
管 O
材 O
内 O
管 O
材 O
料 O
为 O
聚 O
乙 O
烯 O
材 O
料 O
， O
应 O
采 O
用 O
P O
E O
1 O
0 O
0 O
材 O
料 O
， O
其 O
材 O
料 O
性 O
能 O
应 O
符 O
合 O
G O
B O
1 O
5 O
5 O
5 O
8 O
. O
1 O
的 O
规 O
定 O
， O
见 O
表 O
2 O
2 O
4 O
. O
2 O
管 O
件 O
材 O
料 O
管 O
件 O
以 O
聚 O
乙 O
烯 O
为 O
主 O
要 O
材 O
料 O
， O
其 O
材 O
料 O
性 O
能 O
应 O
符 O
合 O
G O
B O
1 O
5 O
5 O
5 O
8 O
. O
2 O
的 O
规 O
定 O
， O
见 O
表 O
2 O
4 O
. O
3 O
金 O
属 O
配 O
件 O
材 O
料 O
管 O
件 O
所 O
使 O
用 O
易 O
腐 O
蚀 O
金 O
属 O
部 O
分 O
应 O
充 O
分 O
防 O
护 O
当 O
使 O
用 O
不 O
同 O
的 O
金 O
属 O
材 O
料 O
并 O
可 O
能 O
与 O
水 O
分 O
接 O
触 O
时 O
， O
应 O
采 O
取 O
措 O
施 O
防 O
止 O
电 O
化 O
学 O
腐 O
蚀 O
所 O
有 O
金 O
属 O
部 O
分 O
的 O
质 O
量 O
和 O
等 O
级 O
应 O
符 O
合 O
国 O
家 O
现 O
行 O
的 O
相 O
关 O
标 O
准 O
规 O
定 O
4 O
. O
4 O
回 O
用 O
料 O
聚 O
乙 O
烯 O
管 O
材 O
、 O
管 O
件 O
生 O
产 O
不 O
允 O
许 O
添 O
加 O
回 O
用 O
料 O
5 O
要 B-requirement
求 I-requirement
5 I-requirement
. I-requirement
1 I-requirement
外 I-requirement
观 I-requirement
5 I-requirement
. I-requirement
1 I-requirement
. I-requirement
1 I-requirement
管 I-requirement
材 I-requirement
外 I-requirement
观 I-requirement
管 I-requirement
材 I-requirement
外 I-requirement
表 I-requirement
面 I-requirement
应 I-requirement
光 I-requirement
滑 I-requirement
， I-requirement
不 I-requirement
应 I-requirement
有 I-requirement
裂 I-requirement
纹 I-requirement
、 I-requirement
腐 I-requirement
蚀 I-requirement
和 I-requirement
外 I-requirement
来 I-requirement
夹 I-requirement
杂 I-requirement
物 I-requirement
管 I-requirement
材 I-requirement
应 I-requirement
采 I-requirement
取 I-requirement
表 I-requirement
面 I-requirement
防 I-requirement
腐 I-requirement
及 I-requirement
着 I-requirement
色 I-requirement
处 I-requirement
理 I-requirement
， I-requirement
处 I-requirement
理 I-requirement
方 I-requirement
式 I-requirement
由 I-requirement
供 I-requirement
需 I-requirement
双 I-requirement
方 I-requirement
商 I-requirement
定 I-requirement
管 I-requirement
材 I-requirement
外 I-requirement
表 I-requirement
面 I-requirement
应 I-requirement
采 I-requirement
用 I-requirement
黄 I-requirement
色 I-requirement
管 I-requirement
材 I-requirement
内 I-requirement
表 I-requirement
面 I-requirement
应 I-requirement
清 I-requirement
洁 I-requirement
、 I-requirement
光 I-requirement
滑 I-requirement
， I-requirement
不 I-requirement
允 I-requirement
许 I-requirement
有 I-requirement
气 I-requirement
泡 I-requirement
、 I-requirement
明 I-requirement
显 I-requirement
的 I-requirement
划 I-requirement
伤 I-requirement
、 I-requirement
凹 I-requirement
陷 I-requirement
、 I-requirement
杂 I-requirement
质 I-requirement
、 I-requirement
颜 I-requirement
色 I-requirement
不 I-requirement
均 I-requirement
等 I-requirement
缺 I-requirement
陷 I-requirement
5 I-requirement
. I-requirement
1 I-requirement
. I-requirement
2 I-requirement
管 I-requirement
件 I-requirement
外 I-requirement
观 I-requirement
管 I-requirement
件 I-requirement
内 I-requirement
外 I-requirement
表 I-requirement
面 I-requirement
应 I-requirement
清 I-requirement
洁 I-requirement
、 I-requirement
光 I-requirement
滑 I-requirement
， I-requirement
不 I-requirement
应 I-requirement
有 I-requirement
缩 I-requirement
孔 I-requirement
（ I-requirement
坑 I-requirement
） I-requirement
和 I-requirement
明 I-requirement
